id,title,description,availability,condition,price,link,image_link,brand
89,KENWOOD KFC-S6976EX Stage Sound,"6""x9"" Flush Mount 3-way 3-Speaker System",In Stock,new,5000,http://amanivehiclesounds.co.ke/product/kenwood-kfc-s6976ex-stage-sound,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-S6976EX-Stage-Sound-001.png,Kenwood
90,Kenwood Flush Mount Speakers,"KFC-PS6995EX Performance Series 6"" x 9"" 5 way speakers with Max power 700W & Rated Power 130W",In Stock,new,9500,http://amanivehiclesounds.co.ke/product/kenwood-flush-mount-speakers,http://amanivehiclesounds.co.ke/uploads/product/Kenwood-Flush-Mount-Speakers-001.png,Kenwood
91,KFC-PS6985 Performance  Speakers,"6""x9"" 4-way ""Performance Standard"" speaker system",In Stock,new,7500,http://amanivehiclesounds.co.ke/product/kfc-ps6985-performance-speakers,http://amanivehiclesounds.co.ke/uploads/product/KFC-PS6985-Performance--Speakers-001.png,Kenwood
92,KENWOOD  KFC-PS170C Component Speaker,"6.5"" component speaker system 80w RMS 400w peak car audio speakers",In Stock,new,8500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-ps170c-component-speaker,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD- KFC-PS170C-Component-Speaker-001.png,Kenwood
93,KENWOOD KFC-W3010 Car Subwoofer Speak,"12"" 4-ohm subwoofer 1000W",In Stock,new,6000,http://amanivehiclesounds.co.ke/product/kenwood-kfc-w3010-car-subwoofer-speak,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-W3010-Car-Subwoofer-Speak-001.png,Kenwood
94,KENWOOD KFC-MW3000 Car Subwoofer,"12"" subwoofer 1200w",In Stock,new,6500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-mw3000-car-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-MW3000-Car-Subwoofer-001.png,Kenwood
95,KENWOOD KFC-PS3016W Bass Speaker,2000W 400W RMS 12 inch Car subwoofer,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/kenwood-kfc-ps3016w-bass-speaker,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-PS3016W-Bass-Speaker-001.png,Kenwood
96,KENWOOD KFC-HQR3000 HQ Reference Sub,"12"" Subwoofer 1500W",In Stock,new,9500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-hqr3000-hq-reference-sub,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-HQR3000-HQ-Reference-Subw-001.png,Kenwood
97,KENWOOD KFC-HQR7100 Car Speakers,7”*10” 600Watts Car Speakers,In Stock,new,13000,http://amanivehiclesounds.co.ke/product/kenwood-kfc-hqr7100-car-speakers,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-HQR7100-Car-Speakers-001.png,Kenwood
98,KENWOOD KFC-HQR710EX Car Speakers,"7x10"" 700W Ultra Hi-Performance Speaker",In Stock,new,13500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-hqr710ex-car-speakers,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-HQR710EX-Car-Speakers-001.png,Kenwood
99,KENWOOD KSC-SW11 Under seat Subwoofer,Compact powered enclosed subwoofer 150 watts.,In Stock,new,18500,http://amanivehiclesounds.co.ke/product/kenwood-ksc-sw11-under-seat-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KSC-SW11-Under-seat-Subwoofer-001.png,Kenwood
100,KENWOOD KSC-PSW8 Under seat Subwoofer,"Compact powered 8"" subwoofer 250watts",Out of Stock,new,22000,http://amanivehiclesounds.co.ke/product/kenwood-ksc-psw8-under-seat-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KSC-PSW8-Under-seat-Subwoofer-001.png,Kenwood
101,KENWOOD KAC-8106D Monoblock Amplifier,"1000W Max, 500W RMS 1-Channel Monoblock Class-D Car Amplifier",In Stock,new,14000,http://amanivehiclesounds.co.ke/product/kenwood-kac-8106d-monoblock-amplifier,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KAC-8106D-Monoblock-Amplifier-001.png,Kenwood
102,KENWOOD KAC-PS917D Mono Amplifier,Kenwood 2000watts monobock amplifier,In Stock,new,22000,http://amanivehiclesounds.co.ke/product/kenwood-kac-ps917d-mono-amplifier,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KAC-PS917D-Mono-Amplifier-001.png,Kenwood
103,KENWOOD KAC-PS704EX Car Audio Booster,1000W Max 4/3/2 Channel Car Power Amplifier,In Stock,new,9000,http://amanivehiclesounds.co.ke/product/kenwood-kac-ps704ex-car-audio-booster,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KAC-PS704EX-Car-Audio-Booster-001.png,Kenwood
104,KENWOOD 4 Channel Car Amplifier,KAC-HQR1004 1200W Max Power 4/3/2-channel amplifier,In Stock,new,13500,http://amanivehiclesounds.co.ke/product/kenwood-4-channel-car-amplifier,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-4-Channel-Car-Amplifier-001.png,Kenwood
105,KENWOOD KFC-T40A Car Tweeter,280W Wide Range Tune Up Tweeters (pair),In Stock,new,4500,http://amanivehiclesounds.co.ke/product/kenwood-kfc-t40a-car-tweeter,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-KFC-T40A-Car-Tweeter-001.png,Kenwood
106,JVC KD-R498 Car Radio receiver,CD Receiver with Front USB/AUX Input,In Stock,new,7500,http://amanivehiclesounds.co.ke/product/jvc-kd-r498-car-radio-receiver,http://amanivehiclesounds.co.ke/uploads/product/JVC-KD-R498-Car-Radio-receiver-001.png,JVC
107,JVC KD-DV5606  Car Radio system,Multimedia DVD/CD/USB Receiver with Front AUX,In Stock,new,12000,http://amanivehiclesounds.co.ke/product/jvc-kd-dv5606-car-radio-system,http://amanivehiclesounds.co.ke/uploads/product/JVC-KD-DV5606--Car-Radio-system-001.png,JVC
108,JVC  Car Radio with Bluetooth,Double din CD front USB AUX car stereo receiver,In Stock,new,13000,http://amanivehiclesounds.co.ke/product/jvc-car-radio-with-bluetooth,http://amanivehiclesounds.co.ke/uploads/product/JVC--Car-Radio-with-Bluetooth-001.png,JVC
109,JVC KW-V230BTM,Car Stereo with Spotify & Reverse camera input DVD/CD/USB receiver 6.2 inch touch screen display.,Out of Stock,new,22000,http://amanivehiclesounds.co.ke/product/jvc-kw-v230btm,http://amanivehiclesounds.co.ke/uploads/product/JVC-KW-V230BTM-001.png,JVC
110,JVC CS-DR162 Doors Speakers,16cm (6-1/2?) 2-way coaxial speakers,In Stock,new,3000,http://amanivehiclesounds.co.ke/product/jvc-cs-dr162-doors-speakers,http://amanivehiclesounds.co.ke/uploads/product/JVC-CS-DR162-Doors-Speakers-001.png,JVC
111,JVC CS-DR6930 Oval Speakers,"6""x9"" 3-way car speakers",In Stock,new,5000,http://amanivehiclesounds.co.ke/product/jvc-cs-dr6930-oval-speakers,http://amanivehiclesounds.co.ke/uploads/product/JVC-CS-DR6930-Oval-Speakers-001.png,JVC
112,JVC  CW-DRA8 Under seat Subwoofer,"Compact powered subwoofer: 250 watts and an 8"" sub",In Stock,new,22000,http://amanivehiclesounds.co.ke/product/jvc-cw-dra8-under-seat-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/JVC- CW-DRA8-Under-seat-Subwoofer-001.png,JVC
113,JVC KS-DR5004 Amplifier,4 channel 1000 watts Car Amplifier,In Stock,new,8500,http://amanivehiclesounds.co.ke/product/jvc-ks-dr5004-amplifier,http://amanivehiclesounds.co.ke/uploads/product/JVC-KS-DR5004-Amplifier-001.png,JVC
123,BOSCHMANN Bridgeable Car Amplifier,PCH-4880DX 1300 Watts 4channel Bridgeable Amplifier,In Stock,new,9000,http://amanivehiclesounds.co.ke/product/boschmann-bridgeable-car-amplifier,http://amanivehiclesounds.co.ke/uploads/product/BOSCHMANN-Bridgeable-Car-Amplifier-001.png,BOSCHMANN
126,9 inch Car DVD Headrest monitor,"9 Inch TFT LED Screen Headrest Monitor With DVD Player, USB & inbuilt Games.",In Stock,new,18000,http://amanivehiclesounds.co.ke/product/9-inch-car-dvd-headrest-monitor,http://amanivehiclesounds.co.ke/uploads/product/9-inch-Car-DVD-Headrest-monitor-001.png,Others
127,5 Inch Foldable Car LCD Dashboard mon,Screen Parking Monitor,In Stock,new,4000,http://amanivehiclesounds.co.ke/product/5-inch-foldable-car-lcd-dashboard-mon,http://amanivehiclesounds.co.ke/uploads/product/5-Inch-Foldable-Car-LCD-Dashboard-mon-001.png,Others
128,7 Inch TFT Car Monitor,"Monitor with Video input, reverse camera input.",In Stock,new,3500,http://amanivehiclesounds.co.ke/product/7-inch-tft-car-monitor,http://amanivehiclesounds.co.ke/uploads/product/7-Inch-TFT-Car-Monitor-001.png,Others
129,Rearview Monitor With USB & SD Card,"7 Inch Car rear view monitor With USB port, FM MP5, SD Card Slot & Bluetooth.",In Stock,new,4500,http://amanivehiclesounds.co.ke/product/rearview-monitor-with-usb-sd-card,http://amanivehiclesounds.co.ke/uploads/product/Rearview-Monitor-With-USB-&-SD-Card-001.png,Others
130,15 Inch Roof Mount Monitor,"With Video Input, reverse camera output",In Stock,new,17000,http://amanivehiclesounds.co.ke/product/15-inch-roof-mount-monitor,http://amanivehiclesounds.co.ke/uploads/product/15-Inch-Roof-Mount-Monitor-001.png,Others
131,14 Inch Roof Mount Monitor,"Roof Mount With Video Input, reverse camera output",In Stock,new,14000,http://amanivehiclesounds.co.ke/product/14-inch-roof-mount-monitor,http://amanivehiclesounds.co.ke/uploads/product/14-Inch-Roof-Mount-Monitor-001.png,Others
132,11 Inch Roof Mount Monitor,"Roof Mount with Video Input, reverse camera output",In Stock,new,13500,http://amanivehiclesounds.co.ke/product/11-inch-roof-mount-monitor,http://amanivehiclesounds.co.ke/uploads/product/11-Inch-Roof-Mount-Monitor-001.png,Others
133,HD Car Reverse Camera Round,"Waterproof, Night Vision, Wide angle View Car backup camera",In Stock,new,2000,http://amanivehiclesounds.co.ke/product/hd-car-reverse-camera-round,http://amanivehiclesounds.co.ke/uploads/product/HD-Car-Reverse-Camera-Round-001.png,Others
134,HD Square Reverse Camera,Night vision Waterproof Car backup camera,In Stock,new,1500,http://amanivehiclesounds.co.ke/product/hd-square-reverse-camera,http://amanivehiclesounds.co.ke/uploads/product/HD-Square-Reverse-Camera-001.png,Others
135,Drilling Car Reverse Camera,Universal reverse camera with Night Vision.,In Stock,new,3500,http://amanivehiclesounds.co.ke/product/drilling-car-reverse-camera,http://amanivehiclesounds.co.ke/uploads/product/Drilling-Car-Reverse-Camera-001.png,Others
137,Dual recording Dashcam,Front & back Recording Dash cam With motion Detection & G- sensor,In Stock,new,5500,http://amanivehiclesounds.co.ke/product/dual-recording-dashcam,http://amanivehiclesounds.co.ke/uploads/product/Dual-recording-Dashcam-001.png,Others
138,KENWOOD DRV-N520 Drive Recorder,Car Dash cam for use with select Kenwood video receivers,In Stock,new,22000,http://amanivehiclesounds.co.ke/product/kenwood-drv-n520-drive-recorder,http://amanivehiclesounds.co.ke/uploads/product/KENWOOD-DRV-N520-Drive-Recorder-001.png,Kenwood
141,Auto Central Lock System Car Control,Central door lock system universal for all cars,In Stock,new,2500,http://amanivehiclesounds.co.ke/product/auto-central-lock-system-car-control,http://amanivehiclesounds.co.ke/uploads/product/Auto-Central-Lock-System-Car-Control-001.png,Others
142,Real Time Vehicle GPS Tracker TK-303F,Car tracking device with android app/ iPhone web based & sms tracking.,In Stock,new,6499,http://amanivehiclesounds.co.ke/product/real-time-vehicle-gps-tracker-tk-303f,http://amanivehiclesounds.co.ke/uploads/product/Real-Time-Vehicle-GPS-Tracker-TK-303F-001.png,Others
143,Portable Car GPS Tracker TK-310,Mini portable car GPS tracker,In Stock,new,7499,http://amanivehiclesounds.co.ke/product/portable-car-gps-tracker-tk-310,http://amanivehiclesounds.co.ke/uploads/product/Portable-Car-GPS-Tracker-TK-310-001.png,Others
144,4PC Car Parking Sensor LED Display,Car backup reverse radar system ‘warning alarm kit.,In Stock,new,2500,http://amanivehiclesounds.co.ke/product/4pc-car-parking-sensor-led-display,http://amanivehiclesounds.co.ke/uploads/product/4PC-Car-Parking-Sensor-LED-Display-001.png,Others
145,Car Jump Starlet & Air Compressor,"Portable 16,800mAh Starting Device 600A Charger for Car Battery Booster Car Air Pump Starter",In Stock,new,9000,http://amanivehiclesounds.co.ke/product/car-jump-starlet-air-compressor,http://amanivehiclesounds.co.ke/uploads/product/Car-Jump-Starlet-&-Air-Compressor-001.png,Others
146,Jump starter kit with air Compressor,Upgraded high power Car Jump Starter.,In Stock,new,"12,000",http://amanivehiclesounds.co.ke/product/jump-starter-kit-with-air-compressor,http://amanivehiclesounds.co.ke/uploads/product/Jump-starter-kit-with-air-Compressor-001.png,Others
147,Power Supply Unit 12V 30A,"12V 30A DC Universal Regulated Switching power supply unit For use with led strip lights, 3D printer 360w for CCTV, Radio, Computer.",In Stock,new,3500,http://amanivehiclesounds.co.ke/product/power-supply-unit-12v-30a,http://amanivehiclesounds.co.ke/uploads/product/Power-Supply-Unit-12V-30A-001.png,Others
148,industrial Power Supply unit (PSU) 12,Industrial power supply unit,In Stock,new,6000,http://amanivehiclesounds.co.ke/product/industrial-power-supply-unit-psu-12,http://amanivehiclesounds.co.ke/uploads/product/industrial-Power-Supply-unit-(PSU)-12-001.png,Others
149,Boschmann EQX-75 PRO Audio Equalizer,Professional Parametric  Equalizer,In Stock,new,3000,http://amanivehiclesounds.co.ke/product/boschmann-eqx-75-pro-audio-equalizer,http://amanivehiclesounds.co.ke/uploads/product/Boschmann-EQX-75-PRO-Audio-Equalizer-001.png,BOSCHMANN
150,5 Way Crossover ABB-5DXi,Pro Audio Bank Crossover Aab-5dxi,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/5-way-crossover-abb-5dxi,http://amanivehiclesounds.co.ke/uploads/product/5-Way-Crossover-ABB-5DXi-001.png,Others
151,Double din Car Radio Toyota Side brac,Side spacers Cover 0.5 inch on either side of the radio during installation,In Stock,new,1000,http://amanivehiclesounds.co.ke/product/double-din-car-radio-toyota-side-brac,http://amanivehiclesounds.co.ke/uploads/product/Double-din-Car-Radio-Toyota-Side-brac-001.png,Others
152,Single Din Car Radio Pocket Spacer,One Din Car Radio strorage spacer.,In Stock,new,500,http://amanivehiclesounds.co.ke/product/single-din-car-radio-pocket-spacer,http://amanivehiclesounds.co.ke/uploads/product/Single-Din-Car-Radio-Pocket-Spacer-001.png,Others
153,Toyota Car Radio Replacement Brackets,Car Radio combined spacers for Toyota Radio Replacement.,In Stock,new,1000,http://amanivehiclesounds.co.ke/product/toyota-car-radio-replacement-brackets,http://amanivehiclesounds.co.ke/uploads/product/Toyota-Car-Radio-Replacement-Brackets-001.png,Others
154,Universal Radio Mounting Brackets,Double Din Car Radio Installation mounting  Brackets,In Stock,new,1500,http://amanivehiclesounds.co.ke/product/universal-radio-mounting-brackets,http://amanivehiclesounds.co.ke/uploads/product/Universal-Radio-Mounting-Brackets-001.png,Others
155,Car Music System Wiring Kit,pure copper amplifier power cable,Out of Stock,new,2000,http://amanivehiclesounds.co.ke/product/car-music-system-wiring-kit,http://amanivehiclesounds.co.ke/uploads/product/Car-Music-System-Wiring-Kit-001.png,Others
156,Gauge Pro Series Amplifier Power Cabl,10 Gauge Clear Red Power Wire 100 ft. Sold per meter,In Stock,new,200,http://amanivehiclesounds.co.ke/product/gauge-pro-series-amplifier-power-cabl,http://amanivehiclesounds.co.ke/uploads/product/Gauge-Pro-Series-Amplifier-Power-Cabl-001.png,Others
157,RCA Jack Connectors,Gold plated Equalizer RCA Jacks.,In Stock,new,200,http://amanivehiclesounds.co.ke/product/rca-jack-connectors,http://amanivehiclesounds.co.ke/uploads/product/RCA-Jack-Connectors-001.png,Others
158,Car Radio Auxiliary Cable,Auxiliary Cable With male to male jack pin.,In Stock,new,500,http://amanivehiclesounds.co.ke/product/car-radio-auxiliary-cable,http://amanivehiclesounds.co.ke/uploads/product/Car-Radio-Auxiliary-Cable-001.png,Others
159,Car Radio FM Expander,Local FM Frequency Expander.,In Stock,new,1000,http://amanivehiclesounds.co.ke/product/car-radio-fm-expander,http://amanivehiclesounds.co.ke/uploads/product/Car-Radio-FM-Expander-001.png,Others
160,Car Subwoofer Protective Grille 12 In,Protective speaker grille.,In Stock,new,1000,http://amanivehiclesounds.co.ke/product/car-subwoofer-protective-grille-12-in,http://amanivehiclesounds.co.ke/uploads/product/Car-Subwoofer-Protective-Grille-12-In-001.png,Others
161,Car FM Antena,Internal windscreen mount amplified car aerial,In Stock,new,1500,http://amanivehiclesounds.co.ke/product/car-fm-antena,http://amanivehiclesounds.co.ke/uploads/product/Car-FM-Antena-001.png,Others
162,Universal Car Smart Phone Holder,"phone holder With long goose neck arm, 360 degrees rotation",In Stock,new,800,http://amanivehiclesounds.co.ke/product/universal-car-smart-phone-holder,http://amanivehiclesounds.co.ke/uploads/product/Universal-Car-Smart-Phone-Holder-001.png,Others
163,Universal Car Smart Phone Holder,"Windshield install phone holder, 360 degrees rotation",Out of Stock,new,1000,http://amanivehiclesounds.co.ke/product/universal-car-smart-phone-holder,http://amanivehiclesounds.co.ke/uploads/product/Universal-Car-Smart-Phone-Holder-001.png,Others
167,Car Audio Power Capacitor 4.0 FARAD,High Performance Digital power Capacitor,In Stock,new,6000,http://amanivehiclesounds.co.ke/product/car-audio-power-capacitor-40-farad,http://amanivehiclesounds.co.ke/uploads/product/Car-Audio-Power-Capacitor-4.0-FARAD-001.png,Others
168,Pioneer CD-SR110 Steering Buttons,Steering wheel control Device for Pioneer Radio.,In Stock,new,3500,http://amanivehiclesounds.co.ke/product/pioneer-cd-sr110-steering-buttons,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-CD-SR110-Steering-Buttons-001.png,Pioneer
169,multicolor 5 Metre Set LED light Stri,Multicolored led light strip with color remote control,In Stock,new,2000,http://amanivehiclesounds.co.ke/product/multicolor-5-metre-set-led-light-stri,http://amanivehiclesounds.co.ke/uploads/product/multicolor-5-Metre-Set-LED-light-Stri-001.png,Others
170,blue 5 Metre Set LED light Strip,Blue led strip light with self stick adhesive.,In Stock,new,1800,http://amanivehiclesounds.co.ke/product/blue-5-metre-set-led-light-strip,http://amanivehiclesounds.co.ke/uploads/product/blue-5-Metre-Set-LED-light-Strip-001.png,Others
171,Pink Decorative  LED Strip lights,"Pink Color party light, 5 Metre.",In Stock,new,1800,http://amanivehiclesounds.co.ke/product/pink-decorative-led-strip-lights,http://amanivehiclesounds.co.ke/uploads/product/Pink-Decorative--LED-Strip-lights-001.png,Others
172,LED Strip light -Orange,5 Meter Decorative self stick Led Light with multipurpose use.,In Stock,new,1800,http://amanivehiclesounds.co.ke/product/led-strip-light-orange,http://amanivehiclesounds.co.ke/uploads/product/LED-Strip-light--Orange-001.png,Others
173,Warm White 5 Metre  LED Strip light,Warm white Color multipurpose use led strip light.,In Stock,new,1800,http://amanivehiclesounds.co.ke/product/warm-white-5-metre-led-strip-light,http://amanivehiclesounds.co.ke/uploads/product/Warm-White-5-Metre--LED-Strip-light-001.png,Others
174,5 Metre Set LED Strip Light- White,White self stick led strip light,In Stock,new,2500,http://amanivehiclesounds.co.ke/product/5-metre-set-led-strip-light-white,http://amanivehiclesounds.co.ke/uploads/product/5-Metre-Set-LED-Strip-Light--White-001.png,Others
175,5 Metre Set 24V LED Decorative Strip,"Comes in White, Blue, pink, warm white, green.",In Stock,new,2500,http://amanivehiclesounds.co.ke/product/5-metre-set-24v-led-decorative-strip,http://amanivehiclesounds.co.ke/uploads/product/5-Metre-Set-24V-LED-Decorative-Strip-001.png,Others
176,Commercial Decorating LED Light,"Waterproof 230 V Multipurpose use led strip light ,Sold per Metre",In Stock,new,350,http://amanivehiclesounds.co.ke/product/commercial-decorating-led-light,http://amanivehiclesounds.co.ke/uploads/product/Commercial-Decorating-LED-Light-001.png,Others
177,AUDI A3 Car Radio Fascia Kit Frame,Black Double DIN 2003-2008 Car Radio Conversion kit for AUDI A3,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/audi-a3-car-radio-fascia-kit-frame,http://amanivehiclesounds.co.ke/uploads/product/AUDI-A3-Car-Radio-Fascia-Kit-Frame-001.png,Others
178,Mercedes Benz B200 w169 w245,2Din car radio fascia for 2004-2012 Mercedes BENZ B200 A CLASS W169 B-CLASS W245 radio conversion kit.,In Stock,new,7500,http://amanivehiclesounds.co.ke/product/mercedes-benz-b200-w169-w245,http://amanivehiclesounds.co.ke/uploads/product/Mercedes-Benz-B200-w169-w245-001.png,Others
179,Mercedes Benz BENZ W203 Radio Trim,2002-2004 Mercedes Benz C-Class W203 Radio Conversion Kit,In Stock,new,6000,http://amanivehiclesounds.co.ke/product/mercedes-benz-benz-w203-radio-trim,http://amanivehiclesounds.co.ke/uploads/product/Mercedes-Benz-BENZ-W203-Radio-Trim-001.png,Others
180,Mercedes Benz (215) W220 Radio Trim,Mercedes Benz radio conversion kit with Wooden finish.,In Stock,new,8000,http://amanivehiclesounds.co.ke/product/mercedes-benz-215-w220-radio-trim,http://amanivehiclesounds.co.ke/uploads/product/Mercedes-Benz-(215)-W220-Radio-Trim-001.png,Others
181,Mercedes Benz W203 & C209 Console,Radio Fascia kit for Mercedes C Class W203 & GLK Class C209 2005-2009,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/mercedes-benz-w203-c209-console,http://amanivehiclesounds.co.ke/uploads/product/Mercedes-Benz-W203-&-C209-Console-001.png,Others
182,Radio Console Mercedes Benz (w204),Car radio installation trim fascia for Mercedes benz c class,In Stock,new,7500,http://amanivehiclesounds.co.ke/product/radio-console-mercedes-benz-w204,http://amanivehiclesounds.co.ke/uploads/product/Radio-Console-Mercedes-Benz-(w204)-001.png,Others
183,Mercedes Benz e class w211 c219,Car Radio Console for Mercedes Benz,In Stock,new,6500,http://amanivehiclesounds.co.ke/product/mercedes-benz-e-class-w211-c219,http://amanivehiclesounds.co.ke/uploads/product/Mercedes-Benz-e-class-w211-c219-001.png,Others
184,Mercedes Benz S Class W220 2006,ABS plastic material radio fascia kit,In Stock,new,8000,http://amanivehiclesounds.co.ke/product/mercedes-benz-s-class-w220-2006,http://amanivehiclesounds.co.ke/uploads/product/Mercedes-Benz-S-Class-W220-2006-001.png,Others
185,Radio Fascia For Mercedes Benz W164,2006-2010 Mercedes Benz ML Class & GL Class 2 Din radio conversion kit.,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/radio-fascia-for-mercedes-benz-w164,http://amanivehiclesounds.co.ke/uploads/product/Radio-Fascia-For-Mercedes-Benz-W164-001.png,Others
186,Bmw 3 Series (E46) 1998 To 2005,Single Din Car Radio Fascia For BMW 3 Series.,In Stock,new,8000,http://amanivehiclesounds.co.ke/product/bmw-3-series-e46-1998-to-2005,http://amanivehiclesounds.co.ke/uploads/product/Bmw-3-Series-(E46)-1998-To-2005-001.png,Others
187,BMW 3 Series (E90-E93) radio console,Car Radio replacement conversion kit for BMW 3 Series E90 to E93,In Stock,new,8500,http://amanivehiclesounds.co.ke/product/bmw-3-series-e90-e93-radio-console,http://amanivehiclesounds.co.ke/uploads/product/BMW-3-Series-(E90-E93)-radio-console-001.png,Others
188,Car Radio Fascia For BMW X5,Car Radio Conversion kit for BMW 5 Series,In Stock,new,8500,http://amanivehiclesounds.co.ke/product/car-radio-fascia-for-bmw-x5,http://amanivehiclesounds.co.ke/uploads/product/Car-Radio-Fascia-For-BMW-X5-001.png,Others
189,Fascia For 2007 To 2011 BMW 1 Series,Double Din Car Radio Car Radio Conversion kit for BMW 1 Series,In Stock,new,9000,http://amanivehiclesounds.co.ke/product/fascia-for-2007-to-2011-bmw-1-series,http://amanivehiclesounds.co.ke/uploads/product/Fascia-For-2007-To-2011-BMW-1-Series-001.png,Others
190,BMW X3 E83 2004-2010 radio Fitting,One din Car Radio conversion kit for BMW X3(E83),In Stock,new,7000,http://amanivehiclesounds.co.ke/product/bmw-x3-e83-2004-2010-radio-fitting,http://amanivehiclesounds.co.ke/uploads/product/BMW-X3-E83-2004-2010-radio-Fitting-001.png,Others
191,Ford Escape Mazda Tribute console,Mazda Tribute & Ford Escape Double din radio Conversion kit.,In Stock,new,8000,http://amanivehiclesounds.co.ke/product/ford-escape-mazda-tribute-console,http://amanivehiclesounds.co.ke/uploads/product/Ford-Escape-Mazda-Tribute-console-001.png,Others
192,Ford Ranger For 2011 To 2013 Fascia,Ford Ranger Car Radio Conversion kit.,In Stock,new,9500,http://amanivehiclesounds.co.ke/product/ford-ranger-for-2011-to-2013-fascia,http://amanivehiclesounds.co.ke/uploads/product/Ford-Ranger-For-2011-To-2013-Fascia-001.png,Others
193,Honda Jazz City Radio Conversion Kit,Double Din Car Radio Fascia For 2002-2006 Honda Jazz City Fit,In Stock,new,9500,http://amanivehiclesounds.co.ke/product/honda-jazz-city-radio-conversion-kit,http://amanivehiclesounds.co.ke/uploads/product/Honda-Jazz-City-Radio-Conversion-Kit-001.png,Others
194,Honda Crv 2008-2011 Radio Fascia,Double Din Car Radio Fascia Conversion kit for Honda CRV,In Stock,new,9000,http://amanivehiclesounds.co.ke/product/honda-crv-2008-2011-radio-fascia,http://amanivehiclesounds.co.ke/uploads/product/Honda-Crv-2008-2011-Radio-Fascia-001.png,Others
195,Honda CRV 2012-2014 Radio replacement,Double Din Radio conversion kit for Honda CRV,In Stock,new,9500,http://amanivehiclesounds.co.ke/product/honda-crv-2012-2014-radio-replacement,http://amanivehiclesounds.co.ke/uploads/product/Honda-CRV-2012-2014-Radio-replacement-001.png,Others
196,Honda Fit Radio Conversion kit,Double Din Radio Console for Honda Fit & Jazz For 2008-2013,In Stock,new,6500,http://amanivehiclesounds.co.ke/product/honda-fit-radio-conversion-kit,http://amanivehiclesounds.co.ke/uploads/product/Honda-Fit-Radio-Conversion-kit-001.png,Others
197,Honda Stream & Honda Fit Radio Ring.,2Din Car Stereo Radio replacement Ring For 2009 2010 2012 2013 Honda Stream Fit,In Stock,new,2000,http://amanivehiclesounds.co.ke/product/honda-stream-honda-fit-radio-ring,http://amanivehiclesounds.co.ke/uploads/product/Honda-Stream-&-Honda-Fit-Radio-Ring.-001.png,Others
198,Car Radio Fascia For Honda Stream,Honda Stream Radio Conversion Console kit,In Stock,new,6500,http://amanivehiclesounds.co.ke/product/car-radio-fascia-for-honda-stream,http://amanivehiclesounds.co.ke/uploads/product/Car-Radio-Fascia-For-Honda-Stream-001.png,Others
199,Isuzu D-max 2012 plus Fascia panel,Double Din Stereo Fascia Panel for Isuzu D-Max,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/isuzu-d-max-2012-plus-fascia-panel,http://amanivehiclesounds.co.ke/uploads/product/Isuzu-D-max-2012-plus-Fascia-panel-001.png,Others
200,Land rover Discovery Freelander,Fascia Radio Conversion Kit for LandRover Discovery Year 2005 to 2011,In Stock,new,8000,http://amanivehiclesounds.co.ke/product/land-rover-discovery-freelander,http://amanivehiclesounds.co.ke/uploads/product/Land-rover-Discovery-Freelander-001.png,Others
201,Lexus 470 Landcruiser 1998 to 2003,2 Din Radio Console for Lexus 470 & Landcruiser,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/lexus-470-landcruiser-1998-to-2003,http://amanivehiclesounds.co.ke/uploads/product/Lexus-470-Landcruiser-1998-to-2003-001.png,Others
202,Dash Kit Fascia for Mazda Demio 2007,Car Radio Conversion kit for Mazda 2 Demio,In Stock,new,6500,http://amanivehiclesounds.co.ke/product/dash-kit-fascia-for-mazda-demio-2007,http://amanivehiclesounds.co.ke/uploads/product/Dash-Kit-Fascia-for-Mazda-Demio-2007-001.png,Others
