id,title,description,availability,condition,price,link,image_link,brand
20,Pioneer TS-G1615R car door speakers,16 cm Dual cone Car speaker 230 Watts,Out of Stock,new,2800,http://amanivehiclesounds.co.ke/product/pioneer-ts-g1615r-car-door-speakers,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-G1615R-car-door-speakers-001.png,Pioneer
21,Pioneer TS-G1610F mid-range Speakers,"6 inch car Speaker, 280 Watts",In Stock,new,2800,http://amanivehiclesounds.co.ke/product/pioneer-ts-g1610f-mid-range-speakers,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-G1610F-mid-range-Speakers-001.png,Pioneer
22,Pioneer TS-R6951S Oval Car Speakers,6? x 9? 3-Way Speaker 400Watts Car Speakers,In Stock,new,4500,http://amanivehiclesounds.co.ke/product/pioneer-ts-r6951s-oval-car-speakers,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-R6951S-Oval-Car-Speakers-001.jpg,Pioneer
23,Pioneer TS-A6966S Car Midrange,3 Way Speakers 6x9 inch Black,In Stock,new,5000,http://amanivehiclesounds.co.ke/product/pioneer-ts-a6966s-car-midrange,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-A6966S-Car-Midrange-001.png,Pioneer
24,PIONEER TS-A6976S Car Speakers - Oval,6? x 9? 3-way Car Speaker System 550 Watts.,In Stock,new,6000,http://amanivehiclesounds.co.ke/product/pioneer-ts-a6976s-car-speakers-oval,http://amanivehiclesounds.co.ke/uploads/product/PIONEER-TS-A6976S-Car-Speakers---Oval-001.png,Pioneer
25,"PIONEER TS-7150F 7"" * 10"" Midrange",500 Watts Champion Series car Speakers,In Stock,new,10499,http://amanivehiclesounds.co.ke/product/pioneer-ts-7150f-7-10-midrange,"http://amanivehiclesounds.co.ke/uploads/product/PIONEER-TS-7150F-7""-*-10""-Midrange-001.png",Pioneer
26,PIONEER TS-A2503i 10 Inch Car Speaker,25 cm 3-way car  speaker 420 Watts,In Stock,new,12000,http://amanivehiclesounds.co.ke/product/pioneer-ts-a2503i-10-inch-car-speaker,http://amanivehiclesounds.co.ke/uploads/product/PIONEER-TS-A2503i-10-Inch-Car-Speaker-001.png,Pioneer
27,PIONEER TS-A250D4,"10 "" 1300 Watts 4 ohms car Bass Speaker.",In Stock,new,6000,http://amanivehiclesounds.co.ke/product/pioneer-ts-a250d4,http://amanivehiclesounds.co.ke/uploads/product/PIONEER-TS-A250D4-001.png,Pioneer
28,Pioneers TS-Z10LS2 Shallow Mount Subw,"10"" Single 2 ohms Voice Coil shallow mount Sub woofer",In Stock,new,16000,http://amanivehiclesounds.co.ke/product/pioneers-ts-z10ls2-shallow-mount-subw,http://amanivehiclesounds.co.ke/uploads/product/Pioneers-TS-Z10LS2-Shallow-Mount-Subw-001.png,Pioneer
29,pioneer TS-W306R Car Bass Speaker,350 Watts RMS Car Sub woofer with Powerful Bass,Out of Stock,new,5499,http://amanivehiclesounds.co.ke/product/pioneer-ts-w306r-car-bass-speaker,http://amanivehiclesounds.co.ke/uploads/product/pioneer-TS-W306R-Car-Bass-Speaker-001.png,Pioneer
30,Pioneer TS-300S4 Bass Speaker,"30cm, Champion Series Car Subwoofer 1400 Watts.",In Stock,new,6000,http://amanivehiclesounds.co.ke/product/pioneer-ts-300s4-bass-speaker,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-300S4-Bass-Speaker-001.png,Pioneer
31,Pioneer TS-W311D4 double coil Speaker,"Champion Series 12"" subwoofer with dual 4-ohm voice coils",Out of Stock,new,8000,http://amanivehiclesounds.co.ke/product/pioneer-ts-w311d4-double-coil-speaker,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-W311D4-double-coil-Speaker-001.png,Pioneer
32,Pioneer Shallow mount Subwoofer,"12"" Shallow-Mount Subwoofer with 1,500 Watts Max. Power",In Stock,new,14000,http://amanivehiclesounds.co.ke/product/pioneer-shallow-mount-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-Shallow-mount-Subwoofer-001.png,Pioneer
33,Pioneer TS-W3003D4 Dual Coil Speaker,"Champion Series PRO Subwoofer with Dual 4 ? Voice Coils and 2,000 Watts Max Power. (600 Watts Nominal)",In Stock,new,12000,http://amanivehiclesounds.co.ke/product/pioneer-ts-w3003d4-dual-coil-speaker,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-W3003D4-Dual-Coil-Speaker-001.png,Pioneer
34,Pioneer TS-D12D4 Double Coil,"12"" subwoofer with dual 4-ohm voice coils speaker",In Stock,new,10000,http://amanivehiclesounds.co.ke/product/pioneer-ts-d12d4-double-coil,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-D12D4-Double-Coil-001.png,Pioneer
35,Pioneer TS-WX306B preloaded Subwoofer,"30cm (12"") 1300 watt Bass-Reflex Box with Subwoofer",In Stock,new,15000,http://amanivehiclesounds.co.ke/product/pioneer-ts-wx306b-preloaded-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-WX306B-preloaded-Subwoofer-001.png,Pioneer
36,Pioneer TS-WX306T Bass Tube Subwoofer,"1300 watts 12"" Car bass tube",Out of Stock,new,12500,http://amanivehiclesounds.co.ke/product/pioneer-ts-wx306t-bass-tube-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-WX306T-Bass-Tube-Subwoofer-001.png,Pioneer
37,Pioneer TS-WX300TA Powered Subwoofer,12? 1300w Sub & Amp Bass tube Car Amplified Subwoofer,In Stock,new,24000,http://amanivehiclesounds.co.ke/product/pioneer-ts-wx300ta-powered-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-WX300TA-Powered-Subwoofer-001.png,Pioneer
38,Pioneer TS-SWX2502 Enclosed Subwoofer,10 inch shallow mount pre-loaded subwoofer enclosure 1200w,Out of Stock,new,18500,http://amanivehiclesounds.co.ke/product/pioneer-ts-swx2502-enclosed-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-SWX2502-Enclosed-Subwoofer-001.png,Pioneer
39,Pioneer TS-WX1210A Powered Subwoofer,"12"" amplified active subwoofer with enclosure 1300w",In Stock,new,20000,http://amanivehiclesounds.co.ke/product/pioneer-ts-wx1210a-powered-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-WX1210A-Powered-Subwoofer-001.png,Pioneer
40,Pioneer TS-WX70DA Slim Subwoofer,Slim Design 200 watts compact powered subwoofer with remote for Bass Control,Out of Stock,new,32000,http://amanivehiclesounds.co.ke/product/pioneer-ts-wx70da-slim-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-WX70DA-Slim-Subwoofer-001.png,Pioneer
41,Pioneer Car Underseat Subwoofer,TS-WX130DA Space Saving Car Under seat Subwoofer 160W,In Stock,new,19000,http://amanivehiclesounds.co.ke/product/pioneer-car-underseat-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-Car-Underseat-Subwoofer-001.png,Pioneer
42,pioneer GM-D8701 Monoblock Amplifier,"Mono 1600W Class-D Car Amp, with Bass Boost Remote",In Stock,new,16499,http://amanivehiclesounds.co.ke/product/pioneer-gm-d8701-monoblock-amplifier,http://amanivehiclesounds.co.ke/uploads/product/pioneer-GM-D8701-Monoblock-Amplifier-001.png,Pioneer
43,Pioneer GM-D9701 Monoblock Amplifier,Class D Mono Amplifier with Wired Bass Boost Remote,In Stock,new,24000,http://amanivehiclesounds.co.ke/product/pioneer-gm-d9701-monoblock-amplifier,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-GM-D9701-Monoblock-Amplifier-001.png,Pioneer
44,Pioneer GM-A3702 2 Channel Amplifier,2-Channel Bridgeable Car Amplifier,In Stock,new,5999,http://amanivehiclesounds.co.ke/product/pioneer-gm-a3702-2-channel-amplifier,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-GM-A3702-2-Channel-Amplifier-001.png,Pioneer
45,Pioneer GM-A4704 4 Channel Amplifier,520w 4 channels Bridgeable amplifier,In Stock,new,6999,http://amanivehiclesounds.co.ke/product/pioneer-gm-a4704-4-channel-amplifier,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-GM-A4704-4-Channel-Amplifier-001.png,Pioneer
46,Pioneer GM-A6704 4 Channel Amplifier,1000w 4-Channel Bridgeable Amplifier with Bass Boost,In Stock,new,10000,http://amanivehiclesounds.co.ke/product/pioneer-gm-a6704-4-channel-amplifier,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-GM-A6704-4-Channel-Amplifier-001.png,Pioneer
47,Pioneer GM-D8704 4 Channel Amplifier,1200 watts Class FD 4-Channel Bridgeable Amplifier,In Stock,new,15500,http://amanivehiclesounds.co.ke/product/pioneer-gm-d8704-4-channel-amplifier,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-GM-D8704-4-Channel-Amplifier-001.png,Pioneer
48,Pioneer GM-D9705 5 Channel Amplifier,Class D 5-Channel Amplifier with Wired Bass Boost Remote,In Stock,new,25000,http://amanivehiclesounds.co.ke/product/pioneer-gm-d9705-5-channel-amplifier,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-GM-D9705-5-Channel-Amplifier-001.png,Pioneer
49,Pioneer  TS-S20 Car Tweeters,¾ inch car audio high power component dome tweeters (pair),In Stock,new,4500,http://amanivehiclesounds.co.ke/product/pioneer-ts-s20-car-tweeters,http://amanivehiclesounds.co.ke/uploads/product/Pioneer- TS-S20-Car-Tweeters-001.png,Pioneer
50,Pioneer TS-B350PRO Car Bullet Tweeter,"3-1/2"" High Efficiency PRO Series Bullet Car Tweeters",In Stock,new,5500,http://amanivehiclesounds.co.ke/product/pioneer-ts-b350pro-car-bullet-tweeter,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-B350PRO-Car-Bullet-Tweeter-001.png,Pioneer
51,Pioneer TS-B400PRO Car Audio Tweeters,"Pro Series Car Tweeter 4"" 500W Bullet Tweeter",In Stock,new,6000,http://amanivehiclesounds.co.ke/product/pioneer-ts-b400pro-car-audio-tweeters,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-TS-B400PRO-Car-Audio-Tweeters-001.png,Pioneer
52,Sony CDX-G1201U Car Stereo,"Car Radio with USB,AUX Input, CD Player, Blue key Illumination.",In Stock,new,7500,http://amanivehiclesounds.co.ke/product/sony-cdx-g1201u-car-stereo,http://amanivehiclesounds.co.ke/uploads/product/Sony-CDX-G1201U-Car-Stereo-001.png,Sony
